Unnamed: 0,date,heure,minute,seconde,humidité,temperature
746,2019-08-22,0,12,30,76.00,28.31
745,2019-08-22,0,27,26,77.00,28.25
744,2019-08-22,0,42,29,76.00,28.31
743,2019-08-22,0,57,26,76.00,28.31
742,2019-08-22,1,13,33,77.00,28.19
741,2019-08-22,1,28,28,77.00,28.06
740,2019-08-22,1,43,46,77.00,28.06
739,2019-08-22,1,58,30,77.00,27.94
738,2019-08-22,2,13,31,78.00,27.94
737,2019-08-22,2,28,29,78.00,28.06
736,2019-08-22,2,43,29,78.00,28.13
735,2019-08-22,2,58,30,77.00,28.13
734,2019-08-22,3,13,30,77.00,28.13
733,2019-08-22,3,29,43,78.00,27.94
732,2019-08-22,3,44,38,78.00,27.69
731,2019-08-22,3,59,39,80.00,27.63
730,2019-08-22,4,14,39,NAN,27.81
729,2019-08-22,4,29,38,79.00,27.75
728,2019-08-22,4,44,39,79.00,27.81
727,2019-08-22,4,59,39,78.00,27.81
726,2019-08-22,5,14,40,78.00,27.63
725,2019-08-22,5,29,38,78.00,27.75
724,2019-08-22,5,45,51,78.00,27.56
