,date,heure,minute,seconde,humidité,temperature
654,2019-08-22,23,55,3,81.00,26.69
655,2019-08-22,23,38,54,82.00,26.69
656,2019-08-22,23,23,54,83.00,26.69
657,2019-08-22,23,8,53,82.00,26.63
658,2019-08-22,22,54,9,83.00,26.56
659,2019-08-22,22,38,54,83.00,26.5
660,2019-08-22,22,8,53,82.00,26.38
661,2019-08-22,21,54,22,80.00,26.5
662,2019-08-22,21,38,55,77.00,26.81
663,2019-08-22,21,22,45,76.00,27.31
664,2019-08-22,21,7,43,74.00,27.69
665,2019-08-22,20,52,45,73.00,27.88
666,2019-08-22,20,37,44,72.00,28.0
667,2019-08-22,20,22,44,71.00,28.25
668,2019-08-22,20,7,43,70.00,28.5
669,2019-08-22,19,52,47,70.00,28.56
670,2019-08-22,19,37,43,71.00,28.69
671,2019-08-22,19,22,47,71.00,28.88
672,2019-08-22,19,6,34,71.00,29.0
673,2019-08-22,18,51,39,70.00,28.94
674,2019-08-22,18,36,34,72.00,29.25
675,2019-08-22,18,21,35,69.00,29.38
676,2019-08-22,18,6,33,70.00,29.19
677,2019-08-22,17,51,32,72.00,29.5
678,2019-08-22,17,37,6,72.00,29.38
679,2019-08-22,17,21,36,74.00,29.06
680,2019-08-22,17,6,52,75.00,29.06
681,2019-08-22,16,35,15,76.00,28.5
682,2019-08-22,16,20,17,80.00,28.19
683,2019-08-22,16,5,16,84.00,27.81
684,2019-08-22,15,50,17,84.00,27.56
685,2019-08-22,15,35,14,85.00,27.0
686,2019-08-22,15,22,32,NAN,26.81
687,2019-08-22,15,5,14,87.00,26.5
688,2019-08-22,14,50,31,89.00,26.0
689,2019-08-22,14,35,18,88.00,25.81
690,2019-08-22,14,19,8,89.00,25.75
691,2019-08-22,14,4,11,89.00,25.63
692,2019-08-22,13,49,12,91.00,25.31
693,2019-08-22,13,34,6,90.00,25.25
694,2019-08-22,13,19,7,92.00,25.13
695,2019-08-22,13,4,37,92.00,25.0
696,2019-08-22,12,49,8,92.00,24.94
697,2019-08-22,12,34,6,93.00,24.81
698,2019-08-22,12,19,11,91.00,24.63
699,2019-08-22,12,3,5,92.00,24.5
700,2019-08-22,11,48,6,92.00,24.38
701,2019-08-22,11,33,4,92.00,24.31
702,2019-08-22,11,18,6,92.00,24.25
703,2019-08-22,11,3,33,92.00,24.25
704,2019-08-22,10,48,5,92.00,24.25
705,2019-08-22,10,33,5,92.00,24.19
706,2019-08-22,10,18,7,91.00,24.19
707,2019-08-22,10,1,56,91.00,24.19
708,2019-08-22,9,46,56,90.00,24.25
709,2019-08-22,9,31,56,91.00,24.31
710,2019-08-22,9,16,58,87.00,24.44
711,2019-08-22,9,1,58,86.00,24.38
712,2019-08-22,8,46,57,82.00,25.13
713,2019-08-22,8,31,55,82.00,26.13
714,2019-08-22,8,16,58,78.00,26.75
715,2019-08-22,8,1,57,77.00,27.13
716,2019-08-22,7,45,47,77.00,27.38
717,2019-08-22,7,30,48,NAN,27.56
718,2019-08-22,7,16,17,NAN,27.56
719,2019-08-22,7,0,47,79.00,27.56
720,2019-08-22,6,45,48,79.00,27.5
721,2019-08-22,6,30,47,79.00,27.5
722,2019-08-22,6,15,48,79.00,27.56
723,2019-08-22,6,0,46,79.00,27.56
724,2019-08-22,5,45,51,78.00,27.56
725,2019-08-22,5,29,38,78.00,27.75
726,2019-08-22,5,14,40,78.00,27.63
727,2019-08-22,4,59,39,78.00,27.81
728,2019-08-22,4,44,39,79.00,27.81
729,2019-08-22,4,29,38,79.00,27.75
730,2019-08-22,4,14,39,NAN,27.81
731,2019-08-22,3,59,39,80.00,27.63
732,2019-08-22,3,44,38,78.00,27.69
733,2019-08-22,3,29,43,78.00,27.94
734,2019-08-22,3,13,30,77.00,28.13
735,2019-08-22,2,58,30,77.00,28.13
736,2019-08-22,2,43,29,78.00,28.13
737,2019-08-22,2,28,29,78.00,28.06
738,2019-08-22,2,13,31,78.00,27.94
739,2019-08-22,1,58,30,77.00,27.94
740,2019-08-22,1,43,46,77.00,28.06
741,2019-08-22,1,28,28,77.00,28.06
742,2019-08-22,1,13,33,77.00,28.19
743,2019-08-22,0,57,26,76.00,28.31
744,2019-08-22,0,42,29,76.00,28.31
745,2019-08-22,0,27,26,77.00,28.25
746,2019-08-22,0,12,30,76.00,28.31
