Unnamed: 0,date,heure,minute,seconde,humidité,temperature
560,2019-08-24,0,6,37,72.00,27.94
559,2019-08-24,0,21,36,72.00,27.88
558,2019-08-24,0,37,44,73.00,27.88
557,2019-08-24,0,52,40,73.00,27.94
556,2019-08-24,1,7,38,73.00,27.94
555,2019-08-24,1,22,37,74.00,27.81
554,2019-08-24,1,37,40,74.00,27.81
553,2019-08-24,1,52,38,74.00,27.81
552,2019-08-24,2,7,39,75.00,27.69
551,2019-08-24,2,22,37,76.00,27.56
550,2019-08-24,2,37,40,75.00,27.56
549,2019-08-24,2,53,49,74.00,27.5
548,2019-08-24,3,8,49,74.00,27.5
547,2019-08-24,3,23,48,75.00,27.5
546,2019-08-24,3,38,48,74.00,27.44
545,2019-08-24,3,53,46,74.00,27.44
544,2019-08-24,4,8,49,75.00,27.44
543,2019-08-24,4,23,49,75.00,27.44
542,2019-08-24,4,39,5,75.00,27.44
541,2019-08-24,4,53,46,75.00,27.38
540,2019-08-24,5,9,59,75.00,27.38
539,2019-08-24,5,39,57,74.00,27.25
538,2019-08-24,5,54,57,75.00,27.25
