Cycle,estimate,lost
3,29.882499999999993,0.4975000000000058
4,29.934999999999995,0.18499999999999517
5,29.987499999999997,0.20250000000000412
6,30.04,0.2699999999999996
7,30.092499999999998,0.4075000000000024
8,30.145,0.5450000000000017
9,30.1975,0.9924999999999997
10,30.250000000000004,0.9399999999999977
11,31.631333333333338,0.0013333333333385156
12,31.820666666666668,0.19066666666666876
13,32.24866666666667,0.18866666666666987
14,32.448666666666675,0.25866666666667726
15,32.50333333333334,0.5633333333333361
16,32.373333333333335,0.6833333333333336
17,32.40200000000001,0.2120000000000104
18,32.39266666666667,0.1426666666666705
19,32.31266666666667,0.3126666666666722
20,32.10266666666667,0.2926666666666726
21,32.068666666666665,0.008666666666663048
22,31.805999999999997,0.24599999999999866
23,31.638666666666673,0.1386666666666727
24,31.619333333333337,0.07066666666666421
25,31.34266666666667,0.21266666666667078
26,31.10133333333333,0.14866666666667072
27,31.27466666666666,0.6053333333333377
28,31.508666666666667,0.4313333333333347
29,31.54466666666667,0.015333333333327204
30,31.487333333333332,0.10733333333333306
31,31.52533333333334,0.14533333333334042
32,31.24733333333334,0.437333333333342
33,30.831333333333333,0.45133333333333425
34,30.440666666666665,0.3106666666666662
35,29.728666666666665,0.2886666666666642
36,29.10933333333334,0.20066666666665967
37,28.615333333333336,0.2646666666666633
38,28.26133333333334,0.4286666666666612
39,27.898666666666678,0.4813333333333212
40,27.724000000000004,0.7159999999999975
41,27.721333333333334,0.6586666666666652
42,27.714666666666666,0.5353333333333339
43,27.716,0.4139999999999979
44,27.748666666666665,0.25133333333333496
45,27.73933333333333,0.26066666666666904
46,27.815333333333335,0.2446666666666637
47,27.888,0.24199999999999733
48,28.008000000000006,0.24199999999999378
49,28.098666666666666,0.21133333333333226
50,28.210000000000004,0.09999999999999432
51,28.29,0.03999999999999915
52,28.368000000000002,0.05800000000000338
53,28.409999999999997,0.09999999999999787
54,28.357333333333337,0.16733333333333533
55,28.240000000000006,0.18000000000000682
56,28.134666666666668,0.0746666666666691
57,28.000000000000004,0.060000000000002274
58,27.91,0.030000000000001137
59,27.90466666666667,0.15533333333332777
60,27.944000000000003,0.1859999999999964
61,27.979333333333333,0.15066666666666606
62,28.038666666666664,0.09133333333333482
63,28.034,0.09399999999999764
64,27.922000000000004,0.23200000000000287
65,27.78466666666667,0.15466666666667095
66,27.748000000000005,0.06199999999999406
67,27.672000000000004,0.07799999999999585
68,27.632666666666665,0.17733333333333334
69,27.634000000000004,0.17599999999999483
70,27.598666666666666,0.03133333333333255
71,27.644666666666673,0.10533333333332706
72,27.64,0.08000000000000185
73,27.62266666666667,0.0626666666666722
74,27.564000000000004,0.0040000000000048885
75,27.474000000000004,0.02599999999999625
76,27.44066666666667,0.05933333333333124
77,27.436,0.12399999999999878
78,27.46,0.09999999999999787
79,27.50066666666667,0.05933333333332769
80,27.438,0.05799999999999983
81,27.324,0.19400000000000261
82,27.048666666666666,0.29866666666666575
83,26.57933333333333,0.4493333333333318
84,25.805333333333333,0.6753333333333345
85,24.877333333333343,0.4973333333333443
86,24.181333333333328,0.2586666666666737
87,23.653333333333336,0.6566666666666627
88,23.318000000000005,0.931999999999995
89,23.179333333333346,1.0106666666666548
90,23.217333333333336,0.9726666666666652
91,23.401333333333337,0.7886666666666642
92,23.704,0.5459999999999994
93,24.008000000000006,0.24199999999999378
94,24.170666666666673,0.07933333333332726
95,24.216000000000005,0.09399999999999409
96,24.31,0.07000000000000028
97,24.42133333333333,0.07866666666667044
98,24.556,0.07399999999999807
99,24.721333333333334,0.0886666666666649
100,24.897333333333332,0.04266666666666907
101,25.047333333333338,0.04733333333333789
102,25.211333333333336,0.08133333333333681
103,25.36466666666667,0.11466666666666825
104,25.47533333333333,0.1653333333333329
105,25.659333333333336,0.029333333333337208
106,25.821999999999996,0.07199999999999562
107,25.949333333333335,0.13933333333333664
108,26.099999999999994,0.09999999999999432
109,26.407333333333334,0.09266666666666623
110,26.760666666666665,0.04933333333333323
111,27.081333333333333,0.08133333333333326
112,27.527333333333335,0.03266666666666396
113,27.943333333333328,0.1333333333333293
114,28.356666666666662,0.16666666666666075
115,28.78733333333333,0.2873333333333292
116,29.282666666666664,0.22266666666666524
117,29.57333333333333,0.5133333333333319
118,29.826,0.4460000000000015
119,30.034666666666663,0.5346666666666628
120,30.001999999999995,0.8119999999999941
121,29.93733333333333,0.5573333333333323
122,29.811333333333337,0.5613333333333372
123,29.515333333333338,0.5753333333333366
124,29.269333333333336,0.26933333333333564
125,29.004000000000005,0.12400000000000588
126,28.786666666666672,0.09666666666667112
127,28.54200000000001,0.017999999999990024
128,28.392000000000003,0.10799999999999699
129,28.232666666666674,0.017333333333326095
130,27.974,0.0259999999999998
131,27.797333333333338,0.08266666666666111
132,27.610000000000007,0.07999999999999474
133,27.292,0.01799999999999713
134,26.89866666666667,0.088666666666672
135,26.495333333333342,0.004666666666658159
136,26.152000000000015,0.22799999999998377
137,25.976000000000013,0.5239999999999867
138,25.945333333333338,0.6146666666666611
139,26.005333333333336,0.6246666666666627
140,26.130666666666677,0.5593333333333241
141,26.311333333333337,0.37866666666666404
142,26.52066666666667,0.16933333333333067
143,26.71933333333334,0.030666666666661513
144,26.822000000000006,0.07200000000000628
145,26.846000000000004,0.09600000000000364
146,26.82133333333334,0.0713333333333388
147,26.828000000000003,0.018000000000004235
148,26.830000000000002,0.020000000000003126
149,26.834,0.02400000000000091
150,26.842000000000002,0.03200000000000358
151,26.842000000000002,0.03200000000000358
152,26.810000000000002,0.060000000000002274
153,26.814,0.004000000000001336
