Cycle,estimate,lost
4,29.887499999999997,0.21250000000000412
5,29.987499999999997,0.20250000000000412
6,30.403000000000002,0.09300000000000352
7,30.466000000000005,0.03399999999999537
8,30.944999999999997,0.25499999999999545
9,31.290000000000003,0.10000000000000142
10,31.511,0.32099999999999795
11,31.868000000000002,0.2380000000000031
12,31.962000000000003,0.3320000000000043
13,32.194,0.13400000000000034
14,32.469,0.27900000000000347
15,32.244,0.3039999999999985
16,31.902,0.21199999999999974
17,31.942000000000004,0.247999999999994
18,32.163000000000004,0.08699999999999619
19,32.218,0.21800000000000352
20,32.00299999999999,0.1929999999999943
21,31.852000000000004,0.2079999999999984
22,31.54,0.019999999999999574
23,31.411,0.08899999999999864
24,31.483999999999995,0.20600000000000662
25,31.068999999999996,0.061000000000003496
26,31.128999999999998,0.12100000000000222
27,31.586000000000002,0.29399999999999693
28,31.952999999999996,0.012999999999994571
29,32.017,0.4570000000000043
30,31.583999999999996,0.20399999999999707
31,31.16,0.21999999999999886
32,30.682,0.1280000000000001
33,30.223000000000006,0.15699999999999292
34,29.766000000000002,0.3639999999999972
35,29.060000000000002,0.379999999999999
36,28.832000000000004,0.47799999999999443
37,28.482,0.3979999999999997
38,28.258,0.43200000000000216
39,28.117999999999995,0.262000000000004
40,28.067999999999998,0.37200000000000344
41,28.178999999999995,0.20100000000000406
42,28.164,0.08599999999999852
43,28.108999999999998,0.021000000000000796
44,27.901000000000003,0.09899999999999665
45,27.849000000000004,0.15099999999999625
46,27.935,0.125
47,28.081999999999997,0.04800000000000182
48,28.277,0.027000000000001023
49,28.392999999999997,0.08299999999999841
50,28.416,0.10600000000000165
51,28.34,0.08999999999999986
52,28.303999999999995,0.00600000000000378
53,28.298,0.012000000000000455
54,28.219999999999995,0.02999999999999403
55,28.073999999999998,0.013999999999999346
56,27.96099999999999,0.0990000000000073
57,27.851000000000003,0.08899999999999864
58,27.852000000000004,0.08799999999999741
59,27.975999999999996,0.08400000000000318
