Unnamed: 0,date,heure,minute,seconde,humidité,temperature
206,2019-08-28,12,2,26,70.00,29.19
205,2019-08-28,12,17,27,NAN,29.44
204,2019-08-28,12,32,26,67.00,29.44
203,2019-08-28,13,2,44,63.00,30.31
202,2019-08-28,13,17,27,63.00,31.31
201,2019-08-28,13,32,28,62.00,31.94
200,2019-08-28,13,48,39,57.00,32.69
199,2019-08-28,14,3,35,54.00,32.63
198,2019-08-28,14,18,36,53.00,33.44
197,2019-08-28,14,33,35,51.00,33.5
196,2019-08-28,14,48,37,52.00,33.19
195,2019-08-28,15,3,38,51.00,32.81
194,2019-08-28,15,18,36,54.00,31.88
193,2019-08-28,15,33,37,59.00,31.5
192,2019-08-28,15,48,36,61.00,31.44
191,2019-08-28,16,4,50,61.00,30.19
190,2019-08-28,16,19,47,63.00,29.56
189,2019-08-28,16,36,47,66.00,30.0
188,2019-08-28,16,49,48,65.00,30.94
187,2019-08-28,17,4,46,63.00,31.31
186,2019-08-28,17,20,2,61.00,31.44
185,2019-08-28,17,35,2,60.00,31.56
184,2019-08-28,17,49,46,59.00,31.75
