Unnamed: 0,date,heure,minute,seconde,humidité,temperature
227,2019-08-28,6,14,21,76.00,27.25
226,2019-08-28,6,29,37,76.00,27.31
225,2019-08-28,6,44,35,76.00,27.19
224,2019-08-28,6,59,18,76.00,27.19
223,2019-08-28,7,14,17,76.00,27.19
222,2019-08-28,7,30,24,76.00,27.19
221,2019-08-28,8,0,38,76.00,27.19
220,2019-08-28,8,15,38,76.00,27.25
219,2019-08-28,8,30,38,76.00,27.13
218,2019-08-28,8,45,38,76.00,27.13
217,2019-08-28,9,0,37,NAN,27.25
216,2019-08-28,9,31,28,75.00,27.38
215,2019-08-28,9,46,53,NAN,27.44
214,2019-08-28,10,1,25,75.00,27.63
213,2019-08-28,10,16,27,74.00,27.94
212,2019-08-28,10,31,25,73.00,27.94
211,2019-08-28,10,46,27,72.00,28.13
210,2019-08-28,11,1,23,72.00,28.19
209,2019-08-28,11,16,27,72.00,28.38
208,2019-08-28,11,32,32,70.00,28.63
207,2019-08-28,11,47,26,70.00,28.81
