Unnamed: 0,date,heure,minute,seconde,humidité,temperature
247,2019-08-28,0,11,16,72.00,28.13
246,2019-08-28,0,26,35,72.00,28.06
245,2019-08-28,0,57,0,73.00,28.06
244,2019-08-28,1,11,57,73.00,28.06
243,2019-08-28,1,26,57,71.00,28.0
242,2019-08-28,1,41,57,73.00,27.94
241,2019-08-28,1,56,56,NAN,27.88
240,2019-08-28,2,12,0,74.00,27.81
239,2019-08-28,2,26,56,74.00,27.75
238,2019-08-28,2,41,58,75.00,27.75
237,2019-08-28,2,56,59,75.00,27.75
236,2019-08-28,3,13,9,75.00,27.69
235,2019-08-28,3,43,27,76.00,27.63
234,2019-08-28,3,58,24,76.00,27.69
233,2019-08-28,4,13,23,77.00,27.63
232,2019-08-28,4,28,22,76.00,27.5
231,2019-08-28,4,43,22,NAN,27.56
230,2019-08-28,5,29,20,75.00,27.44
229,2019-08-28,5,44,20,75.00,27.44
228,2019-08-28,5,59,20,75.00,27.25
