Cycle,estimate,lost
5,29.987499999999997,0.35749999999999815
6,30.04,0.41000000000000014
7,30.092499999999998,0.4624999999999986
8,30.145,0.5150000000000006
9,30.1975,0.5675000000000026
10,30.250000000000004,0.12999999999999545
11,30.302500000000006,0.07749999999999346
12,30.355000000000008,0.024999999999991473
13,30.40750000000001,0.027500000000010516
14,30.46000000000001,0.0800000000000125
15,30.512500000000014,0.7625000000000135
16,30.565000000000015,0.8150000000000155
17,30.617500000000014,0.8675000000000139
18,30.670000000000016,0.9200000000000159
19,30.722500000000018,0.9725000000000179
20,30.77500000000002,1.02500000000002
21,30.827500000000022,0.6375000000000206
22,30.880000000000024,0.6900000000000226
23,30.932500000000026,0.7425000000000246
24,30.985000000000028,0.7950000000000266
25,31.03750000000003,0.8475000000000286
26,30.309658605974395,3.4139402560384724E-4
27,30.33187055476529,0.02187055476528954
28,30.354082503556185,0.04408250355618648
29,30.376294452347082,0.06629445234708342
30,30.39850640113798,0.08850640113798036
31,30.401216216216216,0.09878378378378372
32,30.416586059743956,0.08341394025604387
33,30.431955903271696,0.06804409672830403
34,30.447325746799432,0.05267425320056773
35,30.462695590327172,0.03730440967282789
36,30.76313146233382,0.07313146233381929
37,30.805553914327913,0.1155539143279114
38,30.847976366322005,0.15797636632200351
39,30.890398818316097,0.20039881831609563
40,30.93282127031019,0.24282127031018774
41,31.0996,0.09040000000000248
42,31.1472,0.04279999999999973
43,31.1948,0.004799999999999471
44,31.2424,0.05239999999999867
45,31.290000000000003,0.10000000000000142
46,31.314999999999998,0.12499999999999645
47,31.363999999999997,0.17399999999999594
48,31.413,0.22299999999999898
49,31.462,0.27199999999999847
50,31.511,0.32099999999999795
51,31.647199999999998,0.017199999999998994
52,31.7024,0.0724000000000018
53,31.7576,0.12760000000000105
54,31.8128,0.1828000000000003
55,31.868000000000002,0.2380000000000031
56,31.9232,0.29320000000000235
57,31.787326440177253,0.15732644017725406
58,31.83150664697194,0.20150664697193932
59,31.87568685376662,0.24568685376662103
60,31.9198670605613,0.28986706056130274
61,31.964047267355983,0.33404726735598445
62,32.0148079658606,0.04519203413940431
63,32.05573968705548,0.004260312944524003
64,32.09667140825036,0.03667140825035631
65,32.13760312944524,0.07760312944523662
66,32.17853485064011,0.11853485064010982
67,32.259324324324325,0.06932432432432734
68,32.30487908961593,0.11487908961593263
69,32.350433854907536,0.16043385490753792
70,32.39598862019915,0.20598862019915032
71,32.44154338549075,0.2515433854907556
72,32.14477104874446,0.20477104874445828
73,32.16751846381093,0.22751846381092733
74,32.1902658788774,0.2502658788773964
75,32.21301329394387,0.2730132939438654
76,32.23576070901034,0.29576070901034157
