Cycle,estimate,lost
11,30.302500000000006,0.6725000000000065
12,30.355000000000008,0.7250000000000085
13,30.40750000000001,0.7775000000000105
14,30.46000000000001,0.8300000000000125
15,30.512500000000014,0.8825000000000145
16,30.565000000000015,0.9350000000000165
17,30.617500000000014,0.9875000000000149
18,30.670000000000016,1.040000000000017
19,30.722500000000018,1.092500000000019
20,30.77500000000002,1.145000000000021
21,30.827500000000022,1.1975000000000229
22,30.880000000000024,1.2500000000000249
23,30.932500000000026,1.3025000000000269
24,30.985000000000028,1.3550000000000288
25,31.03750000000003,1.4075000000000308
26,31.090000000000032,1.4600000000000328
27,31.14250000000003,1.5125000000000313
28,31.195000000000032,1.5650000000000333
29,31.247500000000034,1.6175000000000352
30,31.300000000000036,1.6700000000000372
31,31.35250000000004,1.7225000000000392
32,31.40500000000004,1.7750000000000412
33,31.457500000000042,1.8275000000000432
34,31.510000000000044,1.8800000000000452
35,31.562500000000046,1.9325000000000472
36,31.615000000000048,1.9850000000000492
37,31.667500000000047,2.0375000000000476
38,31.72000000000005,2.0900000000000496
39,31.77250000000005,2.1425000000000516
40,31.825000000000053,2.1950000000000536
41,31.877500000000055,2.2475000000000556
42,31.930000000000057,2.3000000000000576
43,31.98250000000006,2.3525000000000595
44,32.03500000000006,2.4050000000000615
45,32.08750000000006,2.4575000000000635
46,32.140000000000065,2.5100000000000655
47,32.19250000000007,2.5625000000000675
48,32.24500000000007,2.6150000000000695
49,32.29750000000007,2.6675000000000715
50,32.35000000000007,2.7200000000000735
51,32.402500000000074,2.7725000000000755
52,32.45500000000007,2.8250000000000703
53,32.50750000000007,2.8775000000000723
54,32.56000000000007,2.9300000000000743
55,32.612500000000075,2.9825000000000763
56,32.66500000000008,3.0350000000000783
57,32.71750000000008,3.0875000000000803
58,32.77000000000008,3.1400000000000823
59,32.82250000000008,3.1925000000000843
60,32.875000000000085,3.2450000000000863
61,32.92750000000009,3.2975000000000882
62,32.98000000000009,3.3500000000000902
63,33.03250000000009,3.4025000000000922
64,33.08500000000009,3.455000000000094
65,33.137500000000095,3.507500000000096
