Unnamed: 0,date,heure,minute,seconde,humidité,temperature
161,2019-08-29,0,8,7,71.00,28.31
160,2019-08-29,0,23,6,72.00,28.25
159,2019-08-29,0,38,6,73.00,28.19
158,2019-08-29,0,54,21,74.00,28.13
157,2019-08-29,1,9,16,74.00,28.13
156,2019-08-29,1,24,17,74.00,28.06
155,2019-08-29,1,39,19,73.00,28.13
154,2019-08-29,1,54,19,73.00,28.06
153,2019-08-29,2,9,15,74.00,28.13
152,2019-08-29,2,24,18,74.00,28.13
151,2019-08-29,2,39,18,74.00,28.06
150,2019-08-29,2,54,18,74.00,28.13
149,2019-08-29,3,26,6,74.00,28.06
148,2019-08-29,3,40,36,75.00,27.94
147,2019-08-29,5,14,47,76.00,28.31
146,2019-08-29,5,25,44,76.00,28.19
145,2019-08-29,5,42,29,78.00,27.94
144,2019-08-29,5,58,42,80.00,27.56
