Unnamed: 0,date,heure,minute,seconde,humidité,temperature
98,2019-08-29,18,7,18,62.00,31.56
97,2019-08-29,18,22,14,64.00,31.38
96,2019-08-29,18,37,14,NAN,30.88
95,2019-08-29,18,53,30,66.00,30.56
94,2019-08-29,19,8,21,66.00,30.25
93,2019-08-29,19,23,21,67.00,30.13
92,2019-08-29,19,38,21,69.00,29.88
91,2019-08-29,19,53,23,70.00,29.69
90,2019-08-29,20,8,28,71.00,29.38
89,2019-08-29,20,23,19,72.00,29.13
88,2019-08-29,20,38,22,73.00,29.0
87,2019-08-29,20,53,22,73.00,28.88
86,2019-08-29,21,9,36,74.00,28.94
85,2019-08-29,21,24,30,74.00,28.75
84,2019-08-29,21,39,31,74.00,28.69
83,2019-08-29,21,54,31,74.00,28.56
82,2019-08-29,22,9,39,74.00,28.56
81,2019-08-29,22,24,30,75.00,28.5
80,2019-08-29,22,39,43,75.00,28.56
79,2019-08-29,23,10,34,76.00,28.5
78,2019-08-29,23,25,51,74.00,28.63
77,2019-08-29,23,40,33,75.00,28.5
76,2019-08-29,23,55,55,75.00,28.56
