Unnamed: 0,date,heure,minute,seconde,humidité,temperature
120,2019-08-29,12,14,16,80.00,28.38
119,2019-08-29,12,20,2,79.00,27.94
118,2019-08-29,12,35,3,80.00,28.63
117,2019-08-29,12,49,59,77.00,29.13
116,2019-08-29,13,5,2,77.00,30.06
115,2019-08-29,13,20,4,74.00,30.19
114,2019-08-29,13,35,20,72.00,30.44
113,2019-08-29,13,49,58,70.00,30.5
112,2019-08-29,14,20,1,70.00,30.38
111,2019-08-29,14,36,12,70.00,30.81
110,2019-08-29,14,51,12,70.00,30.69
109,2019-08-29,15,21,11,68.00,31.25
108,2019-08-29,15,36,14,68.00,31.5
107,2019-08-29,15,51,10,67.00,31.94
106,2019-08-29,16,6,12,NAN,32.88
105,2019-08-29,16,21,11,62.00,33.56
104,2019-08-29,16,37,19,59.00,33.13
103,2019-08-29,16,53,14,60.00,32.44
102,2019-08-29,17,7,13,61.00,31.94
101,2019-08-29,17,22,12,63.00,32.0
100,2019-08-29,17,37,14,63.00,31.63
99,2019-08-29,17,52,11,63.00,31.63
