id,pm10,pm25,pm1,co2,co,humidity,temperature,date,long,lat,datetime,seconde
6896,11,26,21,3003,3.6,0,0,2018-01-04 13:27:22,-17.4534,14.6948,2018-01-04 13:27:22,63.931654739701
6897,11,25,21,2285,3.98,0,0,2018-01-04 13:27:24,-17.4534,14.6948,2018-01-04 13:27:24,63.931652739701
6898,11,24,20,3003,3.6,0,0,2018-01-04 13:27:27,-17.4534,14.6948,2018-01-04 13:27:27,63.931649739701
6899,11,24,20,29958,3.58,0,0,2018-01-04 13:27:28,-17.4534,14.6948,2018-01-04 13:27:28,63.931648739701004
6900,12,24,21,24112,3.57,0,0,2018-01-04 13:27:29,-17.4534,14.6948,2018-01-04 13:27:29,63.931647739701006
6901,12,24,21,19963,3.57,0,0,2018-01-04 13:27:31,-17.4531,14.6947,2018-01-04 13:27:31,63.931645739701004
6902,11,22,19,16007,3.74,0,0,2018-01-04 13:27:33,-17.4531,14.6947,2018-01-04 13:27:33,63.931643739701
6903,11,22,19,13888,3.59,0,0,2018-01-04 13:27:34,-17.4531,14.6947,2018-01-04 13:27:34,63.931642739701005
6904,11,22,18,17305,3.6,0,0,2018-01-04 13:27:36,-17.4531,14.6947,2018-01-04 13:27:36,63.931640739701
6905,12,25,20,9419,3.63,0,0,2018-01-04 13:27:38,-17.4531,14.6947,2018-01-04 13:27:38,63.931638739701
6906,12,25,20,11419,3.83,0,0,2018-01-04 13:27:40,-17.4528,14.6947,2018-01-04 13:27:40,63.931636739701005
6907,13,23,19,-512,3.63,0,0,2018-01-04 13:27:41,-17.4528,14.6947,2018-01-04 13:27:41,63.931635739701
6908,13,24,20,-169,3.62,0,0,2018-01-04 13:27:43,-17.4528,14.6947,2018-01-04 13:27:43,63.931633739701006
6909,13,26,20,3728,3.62,0,0,2018-01-04 13:27:45,-17.4528,14.6947,2018-01-04 13:27:45,63.931631739701004
6910,13,29,22,176,3.62,0,0,2018-01-04 13:27:47,-17.4528,14.6947,2018-01-04 13:27:47,63.931629739701
6911,12,25,20,1222,3.62,0,0,2018-01-04 13:27:49,-17.4528,14.6948,2018-01-04 13:27:49,63.931627739701
6912,13,28,21,2643,3.62,0,0,2018-01-04 13:27:50,-17.4528,14.6948,2018-01-04 13:27:50,63.931626739701
6913,13,28,21,3728,3.61,0,0,2018-01-04 13:27:52,-17.4527,14.6948,2018-01-04 13:27:52,63.931624739701
6914,13,29,22,1222,3.62,0,0,2018-01-04 13:27:54,-17.4527,14.6948,2018-01-04 13:27:54,63.931622739701005
6915,13,29,22,-4171,3.64,0,0,2018-01-04 13:27:56,-17.4527,14.6947,2018-01-04 13:27:56,63.931620739701
6916,12,27,21,6328,3.61,0,0,2018-01-04 13:27:58,-17.4527,14.6947,2018-01-04 13:27:58,63.931618739701
6917,12,27,21,5576,3.61,0,0,2018-01-04 13:27:59,-17.4526,14.6947,2018-01-04 13:27:59,63.931617739701004
6918,12,27,21,3364,3.61,0,0,2018-01-04 13:28:01,-17.4526,14.6947,2018-01-04 13:28:01,63.931615739701
6919,12,26,20,5576,3.6,0,0,2018-01-04 13:28:03,-17.4526,14.6947,2018-01-04 13:28:03,63.931613739701
6920,12,26,20,9815,3.6,0,0,2018-01-04 13:28:05,-17.4526,14.6947,2018-01-04 13:28:05,63.931611739701005
6921,12,24,19,15579,3.59,0,0,2018-01-04 13:28:06,-17.4526,14.6947,2018-01-04 13:28:06,63.931610739701
6922,12,24,19,9815,3.6,0,0,2018-01-04 13:28:08,-17.4526,14.6947,2018-01-04 13:28:08,63.931608739701005
6923,12,26,20,10613,3.6,0,0,2018-01-04 13:28:10,-17.4527,14.6947,2018-01-04 13:28:10,63.931606739701
6924,12,26,20,15153,3.59,0,0,2018-01-04 13:28:12,-17.4527,14.6946,2018-01-04 13:28:12,63.931604739701
6925,13,24,19,-6701,3.62,0,0,2018-01-04 13:28:14,-17.4527,14.6946,2018-01-04 13:28:14,63.931602739701006
6926,12,24,19,-9719,3.63,0,0,2018-01-04 13:28:15,-17.4527,14.6946,2018-01-04 13:28:15,63.931601739701
6927,12,24,19,5202,3.61,0,0,2018-01-04 13:28:17,-17.4527,14.6946,2018-01-04 13:28:17,63.931599739701
6928,12,24,18,-26309,4.01,0,0,2018-01-04 13:28:19,-17.4527,14.6946,2018-01-04 13:28:19,63.931597739701004
6929,12,24,18,28754,3.65,0,0,2018-01-04 13:28:21,-17.4527,14.6946,2018-01-04 13:28:21,63.931595739701
6930,12,26,18,15153,3.59,0,0,2018-01-04 13:28:23,-17.4527,14.6946,2018-01-04 13:28:23,63.931593739701
6931,12,26,18,9815,3.92,0,0,2018-01-04 13:28:24,-17.4527,14.6946,2018-01-04 13:28:24,63.931592739701
6932,12,25,17,7089,3.58,0,0,2018-01-04 13:28:26,-17.4528,14.6946,2018-01-04 13:28:26,63.931590739701
6933,12,26,18,7089,3.58,0,0,2018-01-04 13:28:28,-17.4528,14.6946,2018-01-04 13:28:28,63.931588739701006
6934,12,26,18,11936,3.91,0,0,2018-01-04 13:28:29,-17.4528,14.6946,2018-01-04 13:28:29,63.931587739701
6935,12,27,18,-27126,3.67,0,0,2018-01-04 13:28:32,-17.4528,14.6946,2018-01-04 13:28:32,63.931584739701
6936,11,25,17,7858,3.57,0,0,2018-01-04 13:28:33,-17.4528,14.6946,2018-01-04 13:28:33,63.931583739701004
6937,11,25,17,7472,3.57,0,0,2018-01-04 13:28:35,-17.4528,14.6946,2018-01-04 13:28:35,63.931581739701
6938,11,25,17,5202,3.57,0,0,2018-01-04 13:28:37,-17.4528,14.6946,2018-01-04 13:28:37,63.931579739701
6939,10,24,17,3728,3.57,0,0,2018-01-04 13:28:39,-17.4528,14.6946,2018-01-04 13:28:39,63.931577739701005
6940,10,25,17,4831,3.58,0,0,2018-01-04 13:28:40,-17.4528,14.6946,2018-01-04 13:28:40,63.931576739701
6941,10,25,17,4461,3.59,0,0,2018-01-04 13:28:42,-17.4528,14.6946,2018-01-04 13:28:42,63.931574739701006
6942,10,24,18,7472,3.57,0,0,2018-01-04 13:28:44,-17.4528,14.6946,2018-01-04 13:28:44,63.931572739701004
6943,10,24,18,-512,3.57,0,0,2018-01-04 13:28:46,-17.4528,14.6946,2018-01-04 13:28:46,63.931570739701
6944,11,25,18,4094,3.58,0,0,2018-01-04 13:28:48,-17.4528,14.6946,2018-01-04 13:28:48,63.931568739701
6945,11,25,18,9026,3.59,0,0,2018-01-04 13:28:49,-17.4528,14.6946,2018-01-04 13:28:49,63.931567739701
6946,10,25,18,9026,3.57,0,0,2018-01-04 13:28:51,-17.4528,14.6946,2018-01-04 13:28:51,63.931565739701
6947,10,24,17,8635,3.58,0,0,2018-01-04 13:28:53,-17.4528,14.6946,2018-01-04 13:28:53,63.931563739701005
6948,10,24,17,5951,3.58,0,0,2018-01-04 13:28:55,-17.4527,14.6946,2018-01-04 13:28:55,63.931561739701
6949,10,22,16,8635,3.78,0,0,2018-01-04 13:28:57,-17.4527,14.6946,2018-01-04 13:28:57,63.931559739701
6950,10,23,17,7472,3.62,0,0,2018-01-04 13:28:58,-17.4527,14.6946,2018-01-04 13:28:58,63.931558739701
6951,10,25,17,5951,3.76,0,0,2018-01-04 13:29:00,-17.4527,14.6946,2018-01-04 13:29:00,63.931556739701
6952,10,25,17,11419,3.58,0,0,2018-01-04 13:29:02,-17.4527,14.6946,2018-01-04 13:29:02,63.931554739701
6953,10,25,17,8245,3.58,0,0,2018-01-04 13:29:04,-17.4527,14.6946,2018-01-04 13:29:04,63.931552739701004
6954,10,22,15,7858,3.58,0,0,2018-01-04 13:29:05,-17.4527,14.6946,2018-01-04 13:29:05,63.931551739701
6955,10,22,15,7858,3.59,0,0,2018-01-04 13:29:07,-17.4527,14.6946,2018-01-04 13:29:07,63.931549739701005
6956,10,23,15,2643,3.78,0,0,2018-01-04 13:29:09,-17.4527,14.6946,2018-01-04 13:29:09,63.931547739701
6957,9,22,15,10613,3.58,0,0,2018-01-04 13:29:11,-17.4528,14.6946,2018-01-04 13:29:11,63.931545739701
