Unnamed: 0,date,heure,minute,seconde,humidité,temperature
294,2019-08-27,12,5,12,65.00,29.94
293,2019-08-27,12,20,13,65.00,30.88
292,2019-08-27,12,35,14,65.00,30.75
291,2019-08-27,12,50,14,63.00,30.5
290,2019-08-27,13,5,12,62.00,30.0
289,2019-08-27,13,20,15,61.00,30.0
288,2019-08-27,13,35,15,66.00,30.13
287,2019-08-27,13,50,14,65.00,30.06
286,2019-08-27,14,6,23,62.00,30.13
285,2019-08-27,14,21,23,62.00,30.56
284,2019-08-27,14,36,24,59.00,31.06
283,2019-08-27,14,51,25,60.00,31.0
282,2019-08-27,15,6,22,60.00,31.44
281,2019-08-27,15,21,23,59.00,31.31
280,2019-08-27,15,36,24,58.00,31.13
279,2019-08-27,15,51,21,63.00,29.88
278,2019-08-27,16,7,28,67.00,29.69
277,2019-08-27,16,22,26,69.00,30.13
276,2019-08-27,16,37,43,67.00,30.31
275,2019-08-27,16,52,25,66.00,30.25
274,2019-08-27,17,7,25,67.00,30.0
273,2019-08-27,17,22,26,67.00,30.0
272,2019-08-27,17,37,28,68.00,30.0
271,2019-08-27,17,52,26,68.00,29.5
