Unnamed: 0,date,heure,minute,seconde,humidité,temperature
516,2019-08-25,2,5,44,73.00,28.13
515,2019-08-25,2,20,42,NAN,28.19
514,2019-08-25,2,35,44,72.00,28.19
513,2019-08-25,2,50,41,71.00,28.0
512,2019-08-25,3,5,40,70.00,28.0
511,2019-08-25,3,36,30,71.00,27.81
510,2019-08-25,3,51,33,70.00,27.88
509,2019-08-25,4,6,31,71.00,27.88
508,2019-08-25,4,21,31,NAN,27.75
507,2019-08-25,4,36,30,72.00,27.75
506,2019-08-25,4,51,31,72.00,27.69
505,2019-08-25,5,6,31,73.00,27.69
504,2019-08-25,5,21,32,72.00,27.63
503,2019-08-25,5,36,29,71.00,27.63
502,2019-08-25,5,52,43,72.00,27.63
