Unnamed: 0,date,heure,minute,seconde,humidité,temperature
501,2019-08-25,6,7,39,NAN,27.63
500,2019-08-25,6,23,39,73.00,27.5
499,2019-08-25,6,37,38,72.00,27.56
498,2019-08-25,6,52,40,73.00,27.56
497,2019-08-25,7,7,39,73.00,27.56
496,2019-08-25,7,22,39,74.00,27.5
495,2019-08-25,7,37,39,74.00,27.44
494,2019-08-25,7,52,41,74.00,27.44
493,2019-08-25,8,8,49,74.00,27.44
492,2019-08-25,8,23,47,74.00,27.44
491,2019-08-25,8,38,48,73.00,27.44
490,2019-08-25,8,53,49,74.00,27.44
489,2019-08-25,9,8,49,74.00,27.5
488,2019-08-25,9,23,49,73.00,27.56
487,2019-08-25,9,38,47,NAN,27.63
486,2019-08-25,9,53,48,73.00,27.81
485,2019-08-25,10,8,47,72.00,28.19
484,2019-08-25,10,25,0,71.00,28.44
483,2019-08-25,10,40,2,70.00,28.63
482,2019-08-25,10,54,58,69.00,28.88
481,2019-08-25,11,9,59,68.00,29.0
480,2019-08-25,11,24,58,67.00,29.38
479,2019-08-25,11,40,0,67.00,29.69
478,2019-08-25,11,54,57,65.00,29.81
