Unnamed: 0,date,heure,minute,seconde,humidité,temperature
38,2019-08-30,12,2,16,82.0,26.88
37,2019-08-30,12,17,10,82.0,26.88
36,2019-08-30,12,32,9,80.0,27.0
35,2019-08-30,12,47,8,80.0,27.06
34,2019-08-30,13,2,18,80.0,27.31
33,2019-08-30,13,17,14,80.0,27.19
32,2019-08-30,13,32,11,79.0,26.38
31,2019-08-30,13,47,17,84.0,26.0
30,2019-08-30,14,3,24,89.0,25.94
29,2019-08-30,14,18,21,89.0,25.75
28,2019-08-30,14,33,29,89.0,25.69
27,2019-08-30,14,48,18,90.0,25.31
26,2019-08-30,15,3,16,90.0,25.25
25,2019-08-30,15,18,13,91.0,25.94
24,2019-08-30,15,33,16,93.0,26.56
23,2019-08-30,15,48,16,90.0,26.88
22,2019-08-30,16,3,15,88.0,27.13
21,2019-08-30,16,19,19,85.0,27.44
20,2019-08-30,16,34,28,82.0,27.88
19,2019-08-30,16,49,21,81.0,28.19
18,2019-08-30,17,4,24,78.0,28.69
17,2019-08-30,17,19,18,75.0,28.44
16,2019-08-30,17,34,33,76.0,28.06
15,2019-08-30,17,49,27,77.0,27.69
