Unnamed: 0,date,heure,minute,seconde,humidité,temperature
14,2019-08-30,18,4,21,80.0,27.06
13,2019-08-30,18,20,22,82.0,26.44
12,2019-08-30,18,35,24,85.0,26.06
11,2019-08-30,19,20,56,89.0,25.69
10,2019-08-30,19,36,2,90.0,25.69
9,2019-08-30,19,50,53,90.0,25.63
8,2019-08-30,20,20,54,89.0,25.56
7,2019-08-30,20,35,51,89.0,25.5
6,2019-08-30,20,50,52,89.0,25.31
5,2019-08-30,21,6,13,89.0,25.31
4,2019-08-30,21,22,8,89.0,25.38
3,2019-08-30,21,22,8,89.0,25.38
2,2019-08-30,21,36,59,89.0,25.44
1,2019-08-30,21,52,1,89.0,25.56
0,2019-08-30,22,7,14,89.0,25.69
