Unnamed: 0,date,heure,minute,seconde,humidité,temperature
75,2019-08-30,0,10,44,76.0,28.38
74,2019-08-30,0,25,41,78.0,28.31
73,2019-08-30,0,40,57,78.0,28.13
72,2019-08-30,1,26,47,82.0,28.0
71,2019-08-30,1,41,46,82.0,28.0
70,2019-08-30,1,57,4,82.0,27.94
69,2019-08-30,2,11,53,83.0,27.94
68,2019-08-30,2,26,44,83.0,27.88
67,2019-08-30,2,41,45,84.0,27.69
66,2019-08-30,2,56,46,84.0,27.69
65,2019-08-30,3,43,18,85.0,27.38
64,2019-08-30,3,57,53,85.0,27.19
63,2019-08-30,4,12,54,86.0,27.0
62,2019-08-30,4,27,53,85.0,27.0
61,2019-08-30,4,42,55,86.0,27.06
