Unnamed: 0,date,heure,minute,seconde,humidité,temperature
386,2019-08-26,12,7,4,78.00,28.88
385,2019-08-26,12,23,15,75.00,28.75
384,2019-08-26,12,38,13,71.00,29.0
383,2019-08-26,12,53,13,70.00,29.44
382,2019-08-26,13,8,14,66.00,29.81
381,2019-08-26,13,23,18,66.00,30.13
380,2019-08-26,13,38,13,67.00,30.75
379,2019-08-26,13,53,14,65.00,31.06
378,2019-08-26,14,8,14,64.00,31.31
377,2019-08-26,14,23,14,63.00,31.94
376,2019-08-26,14,39,26,61.00,32.0
375,2019-08-26,14,54,26,60.00,32.25
374,2019-08-26,15,9,25,58.00,32.38
373,2019-08-26,15,24,24,59.00,31.19
372,2019-08-26,15,39,24,63.00,29.19
371,2019-08-26,15,54,24,NAN,28.94
370,2019-08-26,16,9,24,76.00,29.0
369,2019-08-26,16,24,25,NAN,29.69
368,2019-08-26,16,39,24,71.00,30.19
367,2019-08-26,16,55,35,67.00,30.06
366,2019-08-26,17,10,35,66.00,29.19
365,2019-08-26,17,25,36,72.00,28.06
364,2019-08-26,17,40,32,76.00,27.38
363,2019-08-26,17,55,33,81.00,27.94
