Unnamed: 0,date,heure,minute,seconde,humidité,temperature
410,2019-08-26,6,4,47,79.00,26.56
409,2019-08-26,6,19,47,81.00,26.44
408,2019-08-26,6,34,45,81.00,26.5
407,2019-08-26,6,49,47,80.00,26.56
406,2019-08-26,7,5,13,80.00,26.75
405,2019-08-26,7,19,48,80.00,26.63
404,2019-08-26,7,34,47,80.00,26.75
403,2019-08-26,7,50,59,81.00,26.88
402,2019-08-26,8,5,57,80.00,27.0
401,2019-08-26,8,20,57,NAN,26.88
400,2019-08-26,8,35,56,78.00,26.75
399,2019-08-26,8,51,0,79.00,26.75
398,2019-08-26,9,5,55,78.00,26.81
397,2019-08-26,9,20,57,77.00,27.0
396,2019-08-26,9,35,57,76.00,27.31
395,2019-08-26,9,50,57,77.00,26.38
394,2019-08-26,10,7,7,82.00,25.5
393,2019-08-26,10,22,6,84.00,25.75
392,2019-08-26,10,37,5,85.00,26.06
391,2019-08-26,10,52,7,83.00,26.44
390,2019-08-26,11,7,5,84.00,26.75
389,2019-08-26,11,22,7,80.00,27.0
388,2019-08-26,11,37,5,81.00,27.56
387,2019-08-26,11,52,6,81.00,28.06
