Unnamed: 0,date,heure,minute,seconde,humidité,temperature
431,2019-08-26,0,1,41,71.00,28.13
430,2019-08-26,0,16,41,71.00,28.13
429,2019-08-26,0,31,44,71.00,28.13
428,2019-08-26,0,46,42,71.00,28.06
427,2019-08-26,1,1,42,71.00,28.13
426,2019-08-26,1,16,40,71.00,28.06
425,2019-08-26,1,32,45,NAN,28.06
424,2019-08-26,1,47,40,72.00,28.0
423,2019-08-26,2,2,43,71.00,27.94
422,2019-08-26,2,17,43,71.00,27.88
421,2019-08-26,2,47,41,72.00,27.88
420,2019-08-26,3,2,40,73.00,27.94
419,2019-08-26,3,33,47,NAN,27.94
418,2019-08-26,3,48,49,74.00,28.06
417,2019-08-26,4,3,47,73.00,28.0
416,2019-08-26,4,33,47,74.00,28.0
415,2019-08-26,4,48,46,73.00,27.56
414,2019-08-26,5,3,45,76.00,27.25
413,2019-08-26,5,18,47,75.00,27.0
412,2019-08-26,5,34,50,76.00,26.75
411,2019-08-26,5,50,4,77.00,26.81
