Cycle,estimate,lost
3,12.582500000000003,12.582500000000003
4,12.535000000000002,12.535000000000002
5,12.4875,12.4875
6,12.440000000000001,12.440000000000001
7,12.3925,12.3925
8,12.344999999999999,12.344999999999999
9,12.297499999999998,12.297499999999998
10,12.249999999999998,12.249999999999998
11,12.202499999999997,12.202499999999997
12,12.154999999999996,12.154999999999996
13,12.107499999999996,12.107499999999996
14,12.059999999999995,12.059999999999995
15,12.012499999999994,12.012499999999994
16,11.964999999999995,11.964999999999995
17,11.917499999999993,11.917499999999993
18,11.869999999999992,11.869999999999992
19,11.822499999999991,11.822499999999991
20,11.774999999999991,11.774999999999991
21,11.72749999999999,11.72749999999999
22,11.679999999999989,11.679999999999989
23,11.63249999999999,11.63249999999999
24,11.584999999999988,11.584999999999988
25,11.537499999999987,11.537499999999987
26,11.489999999999988,11.489999999999988
27,11.442499999999987,11.442499999999987
28,11.394999999999985,11.394999999999985
29,11.347499999999986,11.347499999999986
30,11.299999999999985,11.299999999999985
31,11.252499999999984,0.7475000000000165
32,11.204999999999984,0.7950000000000159
33,11.157499999999983,0.8425000000000171
34,11.109999999999982,0.8900000000000183
35,11.06249999999998,0.9375000000000195
36,11.014999999999981,0.985000000000019
37,10.96749999999998,1.0325000000000202
38,10.919999999999979,1.0800000000000214
39,10.87249999999998,1.1275000000000208
40,10.824999999999978,1.175000000000022
41,10.777499999999977,1.2225000000000232
42,10.729999999999976,1.2700000000000244
43,10.682499999999976,1.3175000000000239
44,10.634999999999975,1.365000000000025
45,10.587499999999974,1.4125000000000263
46,10.539999999999974,1.4600000000000257
47,10.492499999999973,1.507500000000027
48,10.444999999999972,1.5550000000000281
49,10.397499999999972,1.6025000000000276
50,10.349999999999971,1.6500000000000288
51,10.30249999999997,1.69750000000003
52,10.25499999999997,1.7450000000000294
53,10.20749999999997,1.7925000000000306
54,10.159999999999968,1.8400000000000318
55,10.112499999999969,1.8875000000000313
56,10.064999999999968,1.9350000000000325
57,10.017499999999966,1.9825000000000337
58,9.969999999999965,2.030000000000035
59,9.922499999999966,2.0775000000000343
60,9.874999999999964,2.1250000000000355
61,9.827499999999963,2.1725000000000367
62,9.779999999999962,2.220000000000038
63,9.732499999999963,2.2675000000000374
