Cycle,estimate,lost
3,0.0,1.2974999999999999,1.2974999999999999
4,0.0,1.8575,1.8575
5,0.0,2.4175,2.4175
6,0.0,2.9774999999999996,2.9774999999999996
7,0.0,3.5374999999999996,3.5374999999999996
8,0.0,4.0975,4.0975
9,0.0,4.657499999999999,4.657499999999999
10,0.0,5.217499999999999,5.217499999999999
11,0.0,5.7775,5.7775
12,0.0,6.337499999999999,6.337499999999999
13,0.0,6.897499999999999,6.897499999999999
14,0.0,7.4575,7.4575
15,0.0,8.017499999999998,8.017499999999998
16,0.0,8.577499999999999,8.577499999999999
17,0.0,9.1375,9.1375
18,0.0,9.697499999999998,9.697499999999998
19,0.0,10.257499999999999,10.257499999999999
20,0.0,10.817499999999999,10.817499999999999
21,0.0,11.377499999999998,11.377499999999998
22,0.0,11.937499999999998,11.937499999999998
23,0.0,12.497499999999999,12.497499999999999
24,0.0,13.057499999999997,13.057499999999997
25,0.0,13.617499999999998,13.617499999999998
26,0.0,14.177499999999998,14.177499999999998
27,0.0,14.737499999999999,14.737499999999999
28,0.0,15.297499999999998,15.297499999999998
29,0.0,15.857499999999998,15.857499999999998
30,0.0,16.417499999999997,16.417499999999997
31,0.0,16.9775,16.9775
32,0.0,17.537499999999998,17.537499999999998
33,0.0,18.097499999999997,18.097499999999997
34,0.0,18.6575,18.6575
35,0.0,19.217499999999998,19.217499999999998
36,0.0,19.777499999999996,19.777499999999996
37,0.0,20.3375,20.3375
38,0.0,20.897499999999997,20.897499999999997
39,0.0,21.457499999999996,21.457499999999996
40,0.0,22.0175,22.0175
41,0.0,22.577499999999997,22.577499999999997
42,0.0,23.137499999999996,23.137499999999996
43,0.0,23.697499999999998,23.697499999999998
44,0.0,24.257499999999997,24.257499999999997
45,0.0,24.817499999999995,24.817499999999995
46,0.0,25.377499999999998,25.377499999999998
47,0.0,25.937499999999996,25.937499999999996
48,0.0,26.497499999999995,26.497499999999995
49,0.0,27.057499999999997,27.057499999999997
50,0.0,27.617499999999996,27.617499999999996
51,0.0,28.1775,28.1775
52,0.0,28.737499999999997,28.737499999999997
53,0.0,29.297499999999996,29.297499999999996
54,0.0,29.857499999999998,29.857499999999998
55,0.0,30.417499999999997,30.417499999999997
56,0.0,30.977499999999996,30.977499999999996
57,0.0,31.537499999999998,31.537499999999998
58,0.0,32.0975,32.0975
59,0.0,32.6575,32.6575
60,0.0,33.217499999999994,33.217499999999994
61,0.0,33.777499999999996,33.777499999999996
62,0.0,34.3375,34.3375
63,0.0,34.897499999999994,34.897499999999994
64,0.0,35.457499999999996,35.457499999999996
65,0.0,36.0175,36.0175
66,0.0,36.57749999999999,36.57749999999999
67,0.0,37.137499999999996,37.137499999999996
68,0.0,37.6975,37.6975
69,0.0,38.25749999999999,38.25749999999999
70,0.0,38.817499999999995,38.817499999999995
71,0.0,39.3775,39.3775
72,0.0,39.93749999999999,39.93749999999999
73,0.0,40.497499999999995,40.497499999999995
74,0.0,41.0575,41.0575
75,0.0,41.61749999999999,41.61749999999999
76,0.0,42.177499999999995,42.177499999999995
77,0.0,42.7375,42.7375
78,0.0,43.29749999999999,43.29749999999999
79,0.0,43.857499999999995,43.857499999999995
80,0.0,44.4175,44.4175
81,0.0,44.97749999999999,44.97749999999999
82,0.0,45.537499999999994,45.537499999999994
83,0.0,46.0975,46.0975
84,0.0,46.65749999999999,46.65749999999999
85,0.0,47.217499999999994,47.217499999999994
86,0.0,47.777499999999996,47.777499999999996
87,0.0,48.33749999999999,48.33749999999999
88,0.0,48.897499999999994,48.897499999999994
89,0.0,49.457499999999996,49.457499999999996
90,0.0,50.01749999999999,50.01749999999999
91,0.0,50.57749999999999,50.57749999999999
92,0.0,51.137499999999996,51.137499999999996
93,0.0,51.69749999999999,51.69749999999999
94,0.0,52.25749999999999,52.25749999999999
95,0.0,52.817499999999995,52.817499999999995
96,0.0,53.37749999999999,53.37749999999999
97,0.0,53.93749999999999,53.93749999999999
98,0.0,54.497499999999995,54.497499999999995
99,0.0,55.0575,55.0575
100,0.0,55.61749999999999,55.61749999999999
101,0.0,56.177499999999995,56.177499999999995
102,0.0,56.7375,56.7375
103,0.0,57.29749999999999,57.29749999999999
104,0.0,57.857499999999995,57.857499999999995
105,0.0,58.4175,58.4175
106,0.0,58.97749999999999,58.97749999999999
107,0.0,59.537499999999994,59.537499999999994
108,0.0,60.0975,60.0975
109,0.0,60.65749999999999,60.65749999999999
110,0.0,61.217499999999994,61.217499999999994
111,0.0,61.777499999999996,61.777499999999996
112,0.0,62.33749999999999,62.33749999999999
113,0.0,62.897499999999994,62.897499999999994
114,0.0,63.457499999999996,63.457499999999996
115,0.0,64.0175,64.0175
116,0.0,64.5775,64.5775
117,0.0,65.1375,65.1375
118,0.0,65.6975,65.6975
119,0.0,66.2575,66.2575
120,0.0,66.8175,66.8175
121,0.0,67.3775,67.3775
122,0.0,67.9375,67.9375
123,0.0,68.4975,68.4975
124,0.0,69.0575,69.0575
125,0.0,69.61749999999999,69.61749999999999
126,0.0,70.1775,70.1775
127,0.0,70.7375,70.7375
128,0.0,71.2975,71.2975
129,0.0,71.8575,71.8575
130,0.0,72.4175,72.4175
131,0.0,72.9775,72.9775
132,0.0,73.5375,73.5375
133,0.0,74.0975,74.0975
134,0.0,74.6575,74.6575
135,0.0,75.2175,75.2175
136,0.0,75.7775,75.7775
137,0.0,76.3375,76.3375
138,0.0,76.8975,76.8975
139,0.0,77.4575,77.4575
140,0.0,78.0175,78.0175
141,0.0,78.5775,78.5775
142,0.0,79.1375,79.1375
