Cycle,estimate,lost
3,29.882499999999993,17.882499999999993
4,29.934999999999995,17.934999999999995
5,29.987499999999997,17.987499999999997
6,30.04,18.04
7,30.092499999999998,18.092499999999998
8,30.145,17.145
9,30.1975,17.1975
10,30.250000000000004,17.250000000000004
11,30.302500000000006,17.302500000000006
12,30.355000000000008,17.355000000000008
13,30.40750000000001,17.40750000000001
14,30.46000000000001,17.46000000000001
15,30.512500000000014,17.512500000000014
16,30.565000000000015,17.565000000000015
17,30.617500000000014,17.617500000000014
18,30.670000000000016,16.670000000000016
19,30.722500000000018,16.722500000000018
20,30.77500000000002,16.77500000000002
21,30.827500000000022,16.827500000000022
22,30.880000000000024,17.880000000000024
23,30.932500000000026,17.932500000000026
24,30.985000000000028,17.985000000000028
25,31.03750000000003,18.03750000000003
26,31.090000000000032,18.090000000000032
27,31.14250000000003,18.14250000000003
28,31.195000000000032,18.195000000000032
29,31.247500000000034,19.247500000000034
30,31.300000000000036,19.300000000000036
31,31.35250000000004,19.35250000000004
32,31.40500000000004,19.40500000000004
33,31.457500000000042,19.457500000000042
34,31.510000000000044,18.510000000000044
35,31.562500000000046,18.562500000000046
36,31.615000000000048,18.615000000000048
37,31.667500000000047,18.667500000000047
38,31.72000000000005,18.72000000000005
39,31.77250000000005,18.77250000000005
40,31.825000000000053,18.825000000000053
41,31.877500000000055,19.877500000000055
42,31.930000000000057,19.930000000000057
43,31.98250000000006,20.98250000000006
44,32.03500000000006,21.03500000000006
45,32.08750000000006,21.087500000000063
46,32.140000000000065,21.140000000000065
47,32.19250000000007,21.192500000000067
48,32.24500000000007,20.24500000000007
49,32.29750000000007,20.29750000000007
50,32.35000000000007,21.350000000000072
51,32.402500000000074,21.402500000000074
52,32.45500000000007,21.45500000000007
53,32.50750000000007,20.50750000000007
54,32.56000000000007,20.560000000000073
55,32.612500000000075,19.612500000000075
56,32.66500000000008,19.665000000000077
57,32.71750000000008,19.71750000000008
58,32.77000000000008,19.77000000000008
59,32.82250000000008,20.822500000000083
60,32.875000000000085,19.875000000000085
61,32.92750000000009,19.927500000000087
62,32.98000000000009,19.98000000000009
63,33.03250000000009,20.03250000000009
64,33.08500000000009,21.085000000000093
65,33.137500000000095,21.137500000000095
66,33.1900000000001,21.190000000000097
67,33.2425000000001,21.2425000000001
68,33.2950000000001,21.2950000000001
69,33.3475000000001,21.347500000000103
70,33.400000000000105,21.400000000000105
71,33.45250000000011,21.452500000000107
72,33.50500000000011,21.50500000000011
73,33.557500000000104,20.557500000000104
74,33.610000000000106,21.610000000000106
75,33.66250000000011,21.662500000000108
76,33.71500000000011,21.71500000000011
77,33.76750000000011,21.767500000000112
78,33.820000000000114,21.820000000000114
79,33.872500000000116,21.872500000000116
80,33.92500000000012,21.925000000000118
