Unnamed: 0,date,heure,minute,seconde,humidité,temperature
631,2019-08-23,6,12,40,78.00,26.94
630,2019-08-23,6,27,53,78.00,26.94
629,2019-08-23,6,42,35,78.00,26.94
628,2019-08-23,6,57,36,78.00,26.94
627,2019-08-23,7,13,46,79.00,26.94
626,2019-08-23,7,28,44,78.00,27.0
625,2019-08-23,7,43,45,78.00,27.06
624,2019-08-23,7,58,47,79.00,27.06
623,2019-08-23,8,13,46,78.00,27.06
622,2019-08-23,8,28,46,77.00,27.0
621,2019-08-23,8,43,45,77.00,27.0
620,2019-08-23,8,58,50,78.00,27.06
619,2019-08-23,9,15,31,NAN,26.81
618,2019-08-23,9,29,48,77.00,26.63
617,2019-08-23,9,45,4,78.00,26.75
616,2019-08-23,9,59,46,79.00,26.88
615,2019-08-23,10,14,46,77.00,27.31
614,2019-08-23,10,29,49,75.00,27.75
613,2019-08-23,10,44,46,74.00,28.13
612,2019-08-23,10,59,47,69.00,28.25
611,2019-08-23,11,14,49,72.00,28.25
610,2019-08-23,11,31,0,71.00,28.44
609,2019-08-23,11,45,57,72.00,28.44
