Unnamed: 0,date,heure,minute,seconde,humidité,temperature
584,2019-08-23,18,3,16,63.00,31.06
583,2019-08-23,18,19,26,63.00,31.06
582,2019-08-23,18,34,27,62.00,31.19
581,2019-08-23,18,49,28,63.00,31.25
580,2019-08-23,19,4,26,66.00,30.75
579,2019-08-23,19,19,27,64.00,29.88
578,2019-08-23,19,34,28,67.00,29.38
577,2019-08-23,19,49,25,71.00,29.31
576,2019-08-23,20,4,27,70.00,30.31
575,2019-08-23,20,20,29,67.00,30.25
574,2019-08-23,20,35,29,67.00,29.81
573,2019-08-23,20,50,26,68.00,29.31
572,2019-08-23,21,5,27,66.00,28.94
571,2019-08-23,21,20,25,68.00,28.75
570,2019-08-23,21,35,27,70.00,28.44
569,2019-08-23,21,50,28,72.00,28.31
568,2019-08-23,22,5,29,NAN,28.13
567,2019-08-23,22,20,28,74.00,28.0
566,2019-08-23,22,36,39,72.00,27.94
565,2019-08-23,22,51,36,72.00,27.94
564,2019-08-23,23,6,37,73.00,27.94
563,2019-08-23,23,21,37,72.00,28.0
562,2019-08-23,23,36,38,72.00,28.0
561,2019-08-23,23,51,36,72.00,27.94
