Unnamed: 0,date,heure,minute,seconde,humidité,temperature
653,2019-08-23,0,10,1,80.00,26.75
652,2019-08-23,0,25,4,80.00,26.75
651,2019-08-23,0,40,31,77.00,26.75
650,2019-08-23,0,55,2,78.00,26.75
649,2019-08-23,1,10,1,78.00,26.81
648,2019-08-23,1,25,0,78.00,26.81
647,2019-08-23,1,40,1,79.00,26.81
646,2019-08-23,1,56,7,78.00,26.81
645,2019-08-23,2,11,4,80.00,26.81
644,2019-08-23,2,41,28,81.00,26.75
643,2019-08-23,2,56,27,80.00,26.81
642,2019-08-23,3,11,26,81.00,26.94
641,2019-08-23,3,26,26,81.00,27.0
640,2019-08-23,3,42,26,81.00,27.0
639,2019-08-23,3,56,26,80.00,26.94
638,2019-08-23,4,11,27,79.00,26.94
637,2019-08-23,4,26,27,78.00,26.94
636,2019-08-23,4,57,38,77.00,26.94
635,2019-08-23,5,12,36,77.00,26.94
634,2019-08-23,5,27,36,NAN,26.94
633,2019-08-23,5,42,35,NAN,26.88
632,2019-08-23,5,57,36,78.00,26.88
