temp	date	heure
24.19	2018-12-11	12:48:53
23.88	2018-12-11	12:18:46
23.69	2018-12-11	11:48:40
24.56	2018-12-11	11:18:34
24.19	2018-12-11	10:48:28
23.75	2018-12-11	10:18:22
23.13	2018-12-11	09:48:16
23.06	2018-12-11	09:08:07
23.13	2018-12-11	08:38:01
23		2018-12-11	08:07:55
22.88	2018-12-11	07:37:49
22.94	2018-12-11	07:07:43
22.94	2018-12-11	06:37:37
22.94	2018-12-11	06:07:31
23.06	2018-12-11	05:37:25
23.06	2018-12-11	05:07:19
23.13	2018-12-11	04:37:13
23.19	2018-12-11	04:07:07
23.19	2018-12-11	03:37:01
23.25	2018-12-11	03:06:55
23.25	2018-12-11	02:36:48
23.19	2018-12-11	02:06:42
23.25	2018-12-11	01:36:36
23.31	2018-12-11	01:06:30
23.31	2018-12-11	00:36:24
23.31	2018-12-11	00:06:18
23.25	2018-12-10	23:36:12
23.31	2018-12-10	23:06:06
23.25	2018-12-10	22:36:00
23.31	2018-12-10	22:05:54
23.44	2018-12-10	21:35:48
23.31	2018-12-10	21:05:41
23.38	2018-12-10	20:35:35
23.44	2018-12-10	20:05:29
23.44	2018-12-10	19:35:23
23.44	2018-12-10	19:05:17
23.63	2018-12-10	18:35:11
23.75	2018-12-10	18:05:05
23.69	2018-12-10	17:34:58
23.75	2018-12-10	16:54:50
23.94	2018-12-10	16:24:44
23.81	2018-12-10	15:54:38
24.19	2018-12-10	15:24:32
24.25	2018-12-10	14:54:25
24.63	2018-12-10	14:24:19
26.81	2018-12-10	13:54:13
23.81	2018-12-10	13:24:07
23.75	2018-12-10	12:54:00
23.31	2018-12-10	12:23:54
23.44	2018-12-10	11:53:48
23.13	2018-12-10	11:23:42
22.94	2018-12-10	10:53:36
22.75	2018-12-10	10:23:29
22.56	2018-12-10	09:53:23
22.5	2018-12-10	09:23:17
22.56	2018-12-10	08:43:09
22.5	2018-12-10	08:13:03
22.5	2018-12-10	07:42:57
22.63	2018-12-10	07:12:51
22.56	2018-12-10	06:42:45
22.56	2018-12-10	06:12:39
22.56	2018-12-10	05:42:33
22.63	2018-12-10	05:12:27
22.63	2018-12-10	04:42:21
22.69	2018-12-10	04:12:15
22.69	2018-12-10	03:42:08
22.75	2018-12-10	03:12:02
22.81	2018-12-10	02:41:56
22.81	2018-12-10	02:11:50
22.81	2018-12-10	01:41:44
22.88	2018-12-10	01:11:38
22.81	2018-12-10	00:41:32
22.88	2018-12-10	00:11:26
22.88	2018-12-09	23:41:20
22.88	2018-12-09	23:11:14
23		2018-12-09	22:41:08
22.94	2018-12-09	22:11:02
23		2018-12-09	21:40:55
23		2018-12-09	21:10:49
23.06	2018-12-09	20:40:43
23.06	2018-12-09	20:10:37
23.13	2018-12-09	19:40:31
23.19	2018-12-09	19:10:25
23.25	2018-12-09	18:40:19
23.19	2018-12-09	18:10:13
23.13	2018-12-09	17:40:06
23.19	2018-12-09	17:10:00
23.25	2018-12-09	16:39:54
23.25	2018-12-09	16:09:48
23.25	2018-12-09	15:39:42
23.06	2018-12-09	15:09:35
23.25	2018-12-09	14:39:29
23		2018-12-09	14:09:23
23.31	2018-12-09	13:39:17
23.06	2018-12-09	13:09:10
22.94	2018-12-09	12:39:04
22.88	2018-12-09	12:08:58
22.88	2018-12-09	11:38:52
23.06	2018-12-09	11:08:46
22.81	2018-12-09	10:38:40
23		2018-12-09	10:08:33
22.81	2018-12-09	09:38:27
22.88	2018-12-09	09:08:21
22.81	2018-12-09	08:38:15
22.94	2018-12-09	08:08:09
23		2018-12-09	07:38:03
23		2018-12-09	07:07:57
23.06	2018-12-09	06:37:51
23.06	2018-12-09	06:07:45
23.25	2018-12-09	05:37:39
23.25	2018-12-09	05:07:33
23.38	2018-12-09	04:37:27
23.38	2018-12-09	04:07:21
23.44	2018-12-09	03:37:15
23.5	2018-12-09	03:07:08
23.56	2018-12-09	02:37:02
23.44	2018-12-09	02:06:56
23.56	2018-12-09	01:36:50
23.56	2018-12-09	01:06:44
23.56	2018-12-09	00:36:38
23.63	2018-12-09	00:06:32
23.5	2018-12-08	23:36:26
23.56	2018-12-08	23:06:20
23.69	2018-12-08	22:36:14
23.75	2018-12-08	22:06:07
23.75	2018-12-08	21:36:01
23.69	2018-12-08	21:05:55
23.69	2018-12-08	20:35:49
23.69	2018-12-08	19:55:41
23.75	2018-12-08	19:25:35
23.81	2018-12-08	18:55:29
24		2018-12-08	18:25:23
23.94	2018-12-08	17:55:17
23.81	2018-12-08	17:25:10
24		2018-12-08	16:55:04
24		2018-12-08	16:24:58
24.13	2018-12-08	15:54:52
24.13	2018-12-08	15:24:46
24.13	2018-12-08	14:54:39
24.5	2018-12-08	14:14:31
25.19	2018-12-08	13:44:25
24.13	2018-12-08	13:14:19
23.75	2018-12-08	12:44:12
23.94	2018-12-08	12:14:06
23.88	2018-12-08	11:44:00
24.25	2018-12-08	11:13:54
24.13	2018-12-08	10:43:48
24		2018-12-08	10:13:42
23.56	2018-12-08	09:43:36
23.44	2018-12-08	09:13:29
23.38	2018-12-08	08:43:23
23.38	2018-12-08	08:13:17
23.31	2018-12-08	07:43:11
23.38	2018-12-08	07:13:05
23.44	2018-12-08	06:42:59
23.56	2018-12-08	06:12:53
23.63	2018-12-08	05:42:47
23.63	2018-12-08	05:12:41
23.75	2018-12-08	04:42:35
23.81	2018-12-08	04:12:29
23.81	2018-12-08	03:42:22
23.94	2018-12-08	03:12:16
24		2018-12-08	02:42:10
23.88	2018-12-08	02:12:04
23.81	2018-12-08	01:41:58
23.88	2018-12-08	01:11:52
23.81	2018-12-08	00:41:46
23.88	2018-12-08	00:11:40
23.88	2018-12-07	23:41:34
23.94	2018-12-07	23:11:28
23.94	2018-12-07	22:41:22
23.94	2018-12-07	22:11:15
24		2018-12-07	21:41:09
23.94	2018-12-07	21:11:03
24.06	2018-12-07	20:40:57
24.31	2018-12-07	20:10:51
24.51	2018-12-07	19:40:45
24.75	2018-12-07	19:10:39
24.69	2018-12-07	18:40:33
24.94	2018-12-07	18:10:26
25.88	2018-12-07	17:40:20
26.13	2018-12-07	17:10:14
26.81	2018-12-07	16:40:08
27.06	2018-12-07	16:10:02
27.19	2018-12-07	15:39:55
